Metric,Full Fine-tuning,LoRA
accuracy,0.7979274611398963,0.772020725388601
precision,0.7851097161330323,0.7506720808882609
recall,0.7979274611398963,0.772020725388601
f1,0.7819902618888334,0.7462831147960405
